"filename", "language", "Markdown", "Python", "CMake", "C++", "comment", "blank", "total"
"/run/media/nico/d/school/app/cpp-fabricmc/src/game/World.hpp", "C++", 0, 0, 0, 355, 24, 27, 406
"/run/media/nico/d/school/app/cpp-fabricmc/src/game/WorldGen.cpp", "C++", 0, 0, 0, 234, 16, 20, 270
"/run/media/nico/d/school/app/cpp-fabricmc/src/game/Xp.hpp", "C++", 0, 0, 0, 56, 3, 6, 65
"/run/media/nico/d/school/app/cpp-fabricmc/src/generated/BlockStates.hpp", "C++", 0, 0, 0, 2541, 16, 15, 2572
"/run/media/nico/d/school/app/cpp-fabricmc/src/generated/EntityIds.hpp", "C++", 0, 0, 0, 169, 1, 6, 176
"/run/media/nico/d/school/app/cpp-fabricmc/src/generated/ItemIds.hpp", "C++", 0, 0, 0, 1404, 1, 5, 1410
"/run/media/nico/d/school/app/cpp-fabricmc/src/main.cpp", "C++", 0, 0, 0, 105, 1, 9, 115
"/run/media/nico/d/school/app/cpp-fabricmc/src/net/Connection.hpp", "C++", 0, 0, 0, 202, 11, 13, 226
"/run/media/nico/d/school/app/cpp-fabricmc/src/net/Crypto.hpp", "C++", 0, 0, 0, 89, 6, 12, 107
"/run/media/nico/d/school/app/cpp-fabricmc/src/net/MojangAuth.hpp", "C++", 0, 0, 0, 63, 4, 6, 73
"/run/media/nico/d/school/app/cpp-fabricmc/src/net/Rcon.hpp", "C++", 0, 0, 0, 159, 5, 12, 176
"/run/media/nico/d/school/app/cpp-fabricmc/src/physics/Fluids.cpp", "C++", 0, 0, 0, 142, 12, 14, 168
"/run/media/nico/d/school/app/cpp-fabricmc/src/physics/Fluids.hpp", "C++", 0, 0, 0, 35, 12, 13, 60
"/run/media/nico/d/school/app/cpp-fabricmc/src/physics/LightEngine.cpp", "C++", 0, 0, 0, 194, 14, 21, 229
"/run/media/nico/d/school/app/cpp-fabricmc/src/physics/LightEngine.hpp", "C++", 0, 0, 0, 36, 14, 12, 62
"/run/media/nico/d/school/app/cpp-fabricmc/src/physics/Redstone.cpp", "C++", 0, 0, 0, 219, 14, 23, 256
"/run/media/nico/d/school/app/cpp-fabricmc/src/physics/Redstone.hpp", "C++", 0, 0, 0, 35, 15, 11, 61
"/run/media/nico/d/school/app/cpp-fabricmc/src/proto/Ids.hpp", "C++", 0, 0, 0, 191, 5, 9, 205
"/run/media/nico/d/school/app/cpp-fabricmc/src/worldgen/DensityFunction.cpp", "C++", 0, 0, 0, 93, 2, 5, 100
"/run/media/nico/d/school/app/cpp-fabricmc/src/worldgen/DensityFunction.hpp", "C++", 0, 0, 0, 174, 19, 16, 209
"/run/media/nico/d/school/app/cpp-fabricmc/src/worldgen/MultiNoise.cpp", "C++", 0, 0, 0, 39, 8, 4, 51
"/run/media/nico/d/school/app/cpp-fabricmc/src/worldgen/MultiNoise.hpp", "C++", 0, 0, 0, 77, 12, 12, 101
"/run/media/nico/d/school/app/cpp-fabricmc/src/worldgen/Structures.cpp", "C++", 0, 0, 0, 170, 9, 16, 195
"/run/media/nico/d/school/app/cpp-fabricmc/src/worldgen/Structures.hpp", "C++", 0, 0, 0, 94, 17, 14, 125
"/run/media/nico/d/school/app/cpp-fabricmc/tests/TestClient.cpp", "C++", 0, 0, 0, 486, 10, 34, 530
"/run/media/nico/d/school/app/cpp-fabricmc/tests/TestClient.hpp", "C++", 0, 0, 0, 69, 14, 16, 99
"/run/media/nico/d/school/app/cpp-fabricmc/tests/anvil_persistence_test.py", "Python", 0, 284, 0, 0, 13, 27, 324
"/run/media/nico/d/school/app/cpp-fabricmc/tests/integration_client.py", "Python", 0, 251, 0, 0, 8, 22, 281
"/run/media/nico/d/school/app/cpp-fabricmc/tests/mcproto.py", "Python", 0, 183, 0, 0, 25, 29, 237
"/run/media/nico/d/school/app/cpp-fabricmc/tests/mini_probe.cpp", "C++", 0, 0, 0, 9, 0, 1, 10
"/run/media/nico/d/school/app/cpp-fabricmc/tests/multi_client_test.py", "Python", 0, 109, 0, 0, 6, 14, 129
"/run/media/nico/d/school/app/cpp-fabricmc/tests/native_integration.cpp", "C++", 0, 0, 0, 248, 21, 27, 296
"/run/media/nico/d/school/app/cpp-fabricmc/tests/stress_test.py", "Python", 0, 71, 0, 0, 4, 7, 82
"/run/media/nico/d/school/app/cpp-fabricmc/tests/test_golden.cpp", "C++", 0, 0, 0, 96, 8, 13, 117
"/run/media/nico/d/school/app/cpp-fabricmc/tools/capture.py", "Python", 0, 138, 0, 0, 4, 18, 160
"/run/media/nico/d/school/app/cpp-fabricmc/tools/flow_probe.py", "Python", 0, 55, 0, 0, 2, 4, 61
"/run/media/nico/d/school/app/cpp-fabricmc/tools/gen_entities.py", "Python", 0, 38, 0, 0, 2, 5, 45
"/run/media/nico/d/school/app/cpp-fabricmc/tools/gen_items.py", "Python", 0, 37, 0, 0, 2, 6, 45
"/run/media/nico/d/school/app/cpp-fabricmc/tools/gen_tables.py", "Python", 0, 259, 0, 0, 17, 11, 287
"/run/media/nico/d/school/app/cpp-fabricmc/tools/nbtdec.py", "Python", 0, 220, 0, 0, 4, 15, 239
"Total", "-", 246, 1645, 46, 16273, 931, 1309, 20450
